Datum,Kl,Essingeleden,Hornsgatan innerstadsgata,Sveav�gen innerstadsgata,Uppsala innerstadsgata,Torkel Knutssonsgatan t�tort,Norr Malma landsbygd,Folkungagatan innerstadsgata,Uppsala t�tort,
2015-01-05,06:00,3.0095,5.60374,4.52474,3.593,3.66625,2.755,0,2.3285,
2015-01-05,07:00,4.67625,6.64274,2.62474,3.543,4.85424,3.276,0,2.72875,
2015-01-05,08:00,6.64474,6.88524,8.09099,5.80724,4.38725,3.55,0,3.09949,
2015-01-05,09:00,6.95499,7.48299,5.73425,4.76875,5.06224,3.725,0,2.687,
2015-01-05,10:00,5.88149,7.09024,0.887574,7.94124,6.02349,3.515,0,4.52625,
2015-01-05,11:00,9.33699,5.84999,2.07037,5.39224,3.29325,3.052,0,1.856,
2015-01-05,12:00,7.78874,5.82524,4.96157,7.979,4.86749,2.963,0,2.30275,
2015-01-05,13:00,7.3865,6.06899,3.3555,7.15324,5.50725,2.877,0,4.45899,
2015-01-05,14:00,8.43674,6.95425,4.32449,7.78024,6.13074,3.11,0,4.63699,
2015-01-05,15:00,8.74724,7.53799,2.5122,8.32825,4.08475,3.227,0,4.80049,
2015-01-05,16:00,9.65773,9.57524,1.39125,9.34174,5.39124,3.093,0,7.25249,
2015-01-05,17:00,9.80923,9.93298,3.3315,9.853,6.01074,3.163,0,6.42149,
2015-01-05,18:00,10.102,9.99548,6.63449,10.6172,6.32825,2.906,0,8.78648,
2015-01-05,19:00,12.79,9.89449,9.81099,14.68,7.55225,2.645,0,12.56,
2015-01-05,20:00,14.155,12.02,11.134,12.6687,11.96,2.688,0,9.26399,
2015-01-05,21:00,19.2775,14.655,11.1812,10.5615,12.1,2.746,0,11.2575,
2015-01-05,22:00,16.6325,15.3425,9.60249,11.565,8.94724,2.448,0,9.14374,
2015-01-05,23:00,15.9975,12.4975,11.0297,10.99,13.6335,2.218,0,9.70074,
2015-01-06,00:00,16.86,15.0625,13.4375,10.694,10.4452,2.406,0,10.0577,
2015-01-06,01:00,16.2325,20.4725,20.08,11.6275,14.915,2.642,0,8.24074,
2015-01-06,02:00,15.62,20.5425,10.0777,9.11349,16.9625,3.324,0,8.22499,
2015-01-06,03:00,16.9475,18.865,3.5865,7.15675,15.2625,4.145,0,5.08974,
2015-01-06,04:00,12.55,13.88,6.15825,5.50324,11.725,4.20599,0,5.24449,
2015-01-06,05:00,8.73975,10.4485,4.54575,4.44699,7.96725,4.116,0,3.68724,
2015-01-06,06:00,7.24249,7.51624,3.71075,5.43849,1.19665,3.628,0,4.85849,
2015-01-06,07:00,7.00449,8.78598,1.25285,6.93674,2.72627,3.108,0,7.09899,
2015-01-06,08:00,6.11175,6.43099,1.43122,8.47624,4.267,3.385,0,5.87025,
2015-01-06,09:00,7.69299,5.26575,3.35975,5.50774,6.64574,3.534,0,4.62299,
2015-01-06,10:00,6.94025,4.9865,2.84275,3.4073,4.576,2.727,0,3.01725,
2015-01-06,11:00,5.49674,4.98149,4.28525,2.3365,4.38649,1.9,0,2.7045,
2015-01-06,12:00,4.01749,4.88249,2.92125,2.30275,2.75725,1.463,0,2.53725,
2015-01-06,13:00,5.03449,4.8895,3.83775,1.74325,5.52125,1.108,0,1.06182,
2015-01-06,14:00,4.89349,4.58025,4.35349,3.0885,2.5593,1.568,0,2.363,
2015-01-06,15:00,4.25749,3.506,3.7585,2.04675,3.015,1.964,0,1.39277,
2015-01-06,16:00,2.77175,5.86099,5.58724,1.48392,4.767,2.16,0,0.864274,
2015-01-06,17:00,3.6295,3.7855,1.757,1.87425,6.52899,2.489,0,1.55625,
2015-01-06,18:00,4.34624,4.90324,3.074,2.7715,5.28124,3.01,0,1.8055,
2015-01-06,19:00,2.72025,3.96574,2.13124,3.0545,-0.62385,3.517,0,3.5885,
2015-01-06,20:00,2.37025,4.15575,2.95024,4.83349,3.2415,3.642,0,2.748,
2015-01-06,21:00,4.46849,4.7335,5.69274,4.80899,5.51974,3.916,0,4.10324,
2015-01-06,22:00,6.481,5.83775,6.20599,4.74799,9.16873,4.294,0,4.72025,
2015-01-06,23:00,5.43774,5.03649,6.66449,2.35725,6.07725,4.60699,0,3.84675,
2015-01-07,00:00,5.16624,4.71674,3.381,4.62274,5.838,4.282,0,4.48975,
2015-01-07,01:00,4.32999,5.41999,5.13449,4.27374,5.05349,3.814,0,3.99375,
2015-01-07,02:00,3.94075,5.0705,3.13736,4.63625,4.5155,3.71,0,3.848,
2015-01-07,03:00,2.85374,3.81975,0.503349,5.70774,2.00062,3.499,0,5.62,
2015-01-07,04:00,4.46524,5.31449,4.38425,6.98024,3.06625,3.929,0,6.60949,
2015-01-07,05:00,4.00199,5.58999,3.6525,8.11974,4.4875,4.283,0,8.96623,
2015-01-07,06:00,6.18399,6.72499,4.68224,7.6405,5.68275,4.919,0,6.61949,
2015-01-07,07:00,8.53299,7.229,9.34499,5.98775,7.60999,5.672,0,5.63824,
2015-01-07,08:00,7.68275,7.29549,5.5715,6.04074,7.42924,5.408,0,5.21224,
2015-01-07,09:00,8.46748,7.3055,7.73799,6.41724,6.77249,5.05199,0,5.25074,
2015-01-07,10:00,8.23224,8.72574,8.58499,6.68399,8.58023,5.48199,0,7.06425,
2015-01-07,11:00,9.18298,8.71449,9.05923,6.94199,8.13748,5.726,0,7.383,
2015-01-07,12:00,8.98573,8.81273,7.353,9.24724,7.83624,6.112,0,8.23099,
2015-01-07,13:00,9.69748,9.75349,11.6075,8.14124,10.0302,6.35899,0,8.27974,
2015-01-07,14:00,11.235,10.2482,11.485,10.0167,8.61574,6.55399,0,7.79299,
2015-01-07,15:00,12.75,10.943,12.285,9.94473,10.7407,6.80399,0,6.66699,
2015-01-07,16:00,13.4425,14.37,14.1975,9.29298,12.0475,7.257,0,9.84198,
2015-01-07,17:00,12.7875,14.3725,16.1,10.4385,12.82,7.70499,0,11.4715,
2015-01-07,18:00,11.3252,13.8825,13.0675,12.51,11.35,8.793,0,11.88,
2015-01-07,19:00,11.98,13.5475,13.6525,8.6675,12.875,9.62,0,10.0777,
2015-01-07,20:00,12.72,14.1525,12.6562,10.4625,13.7075,10.54,0,10.351,
2015-01-07,21:00,11.4652,12.2825,13.855,9.15149,11.905,11.67,0,10.1287,
2015-01-07,22:00,10.8262,11.0365,11.295,8.40924,11.2825,10.67,0,9.28874,
2015-01-07,23:00,10.2745,10.606,10.5652,11.1325,10.619,9.82599,0,10.1447,
2015-01-08,00:00,8.95149,10.3052,9.38499,10.3325,11.04,10.44,0,10.41,
2015-01-08,01:00,7.79724,8.60199,5.66499,10.4055,7.22649,11.15,0,10.116,
2015-01-08,02:00,5.38074,5.78349,3.92425,7.58699,5.71275,8.504,0,6.59274,
2015-01-08,03:00,2.61475,3.23025,2.842,6.61974,5.10224,5.925,0,4.336,
2015-01-08,04:00,0.901824,2.15575,0.929975,1.37955,1.45685,4.43999,0,1.4283,
2015-01-08,05:00,1.0824,1.94125,0.154565,1.36142,1.03012,3.043,0,1.22905,
2015-01-08,06:00,1.9615,3.04375,0.513726,1.56767,3.4795,2.373,0,2.727,
2015-01-08,07:00,2.53325,2.61025,0.854874,1.78075,2.64395,1.85,0,1.914,
2015-01-08,08:00,2.48249,2.143,0.01345,0.622199,0.459535,0.7189,0,0.272207,
2015-01-08,09:00,1.63225,2.039,2.733,-0.0139253,0.814824,-0.3866,0,-0.16257,
2015-01-08,10:00,3.24025,4.71825,3.435,1.4066,3.96825,0.7619,0,1.05257,
2015-01-08,11:00,3.986,4.32574,3.92375,2.781,4.04974,1.97,0,2.36075,
2015-01-08,12:00,2.5525,4.25299,3.302,4.04649,3.97675,3.482,0,3.39575,
2015-01-08,13:00,1.90325,2.36337,2.80017,2.1345,-0.216425,4.878,0,2.14825,
2015-01-08,14:00,2.32307,4.28149,3.502,2.497,3.7185,3.516,0,1.89015,
2015-01-08,15:00,2.843,3.8095,2.62475,2.4435,4.21049,2.18,0,2.3895,
2015-01-08,16:00,4.63674,5.21124,6.01424,5.27125,4.9165,1.992,0,2.99325,
2015-01-08,17:00,4.12699,5.99625,7.50449,2.8885,3.46574,1.739,0,1.20685,
2015-01-08,18:00,2.277,3.4685,6.741,2.30885,3.46849,1.823,0,1.8865,
2015-01-08,19:00,2.78275,4.01274,7.40699,3.84225,4.10549,2.037,0,1.63787,
2015-01-08,20:00,4.40824,5.61099,5.54324,3.46849,3.87524,1.624,0,1.47105,
2015-01-08,21:00,2.18025,2.3185,5.44975,1.9105,3.27625,1.322,0,1.52912,
2015-01-08,22:00,2.0045,3.17274,2.64875,3.2895,2.74375,1.154,0,1.52575,
2015-01-08,23:00,2.845,3.2155,3.47025,2.024,3.505,0.818899,0,0.655316,
2015-01-09,00:00,1.98942,2.83975,2.10927,0.736424,3.89575,0.4957,0,-0.333299,
2015-01-09,01:00,2.57,2.41,1.99975,1.552,2.60575,0.3509,0,0.587549,
2015-01-09,02:00,3.10325,3.49224,1.02762,1.62905,2.839,0.5377,0,0.0758499,
2015-01-09,03:00,3.05,3.10775,2.374,1.98602,3.39275,0.5954,0,-1.25927,
2015-01-09,04:00,2.80424,1.83692,0.622449,2.34949,1.62705,0.8778,0,-0.302882,
2015-01-09,05:00,3.40375,3.83525,3.46675,-1.51625,4.03825,1.189,0,0.833229,
2015-01-09,06:00,2.189,2.95875,2.94324,3.31874,2.921,1.307,0,1.22252,
2015-01-09,07:00,4.26424,4.37849,3.6115,2.59425,2.65475,1.493,0,0.2781,
2015-01-09,08:00,3.46175,4.36449,3.29925,0.324837,2.23075,1.847,0,1.729,
2015-01-09,09:00,3.54962,6.40799,4.05724,3.77299,4.23499,1.947,0,2.4525,
2015-01-09,10:00,2.48675,4.188,2.98782,4.32574,2.33599,2.055,0,3.56,
2015-01-09,11:00,3.69225,5.37524,2.62175,3.59624,2.70062,2.169,0,1.62127,
2015-01-09,12:00,3.7395,4.20874,3.87925,5.0795,3.1101,2.248,0,4.06699,
2015-01-09,13:00,3.57375,5.42075,4.28974,3.60675,2.7795,2.189,0,6.24624,
2015-01-09,14:00,6.98874,7.19599,4.48299,5.76675,4.52299,3.178,0,5.85549,
2015-01-09,15:00,7.23149,6.67024,8.09674,5.5545,4.93074,4.19099,0,4.71925,
2015-01-09,16:00,8.62074,7.56899,7.48499,6.22174,6.9295,3.688,0,3.73574,
2015-01-09,17:00,6.78049,8.01974,5.45699,7.62849,4.6935,2.777,0,3.87199,
2015-01-09,18:00,8.78123,6.16499,0,7.58049,5.96049,2.226,0,4.91049,
2015-01-09,19:00,6.69875,4.86874,0,4.15374,4.76374,1.552,0,3.2525,
2015-01-09,20:00,6.32174,6.60374,0,5.75375,6.23049,2.052,0,5.28099,
2015-01-09,21:00,4.12749,4.57725,0,8.01149,4.73249,2.622,0,3.33775,
2015-01-09,22:00,2.60432,5.86575,0,4.99825,3.748,2.155,0,3.56675,
2015-01-09,23:00,3.45727,5.86824,0,2.68862,4.94324,1.728,0,3.5225,
2015-01-10,00:00,2.03552,3.67974,0,1.26035,2.46075,1.868,0,0.31194,
2015-01-10,01:00,0.524124,2.4515,0,1.59685,1.23582,2.08,0,-0.849994,
2015-01-10,02:00,0.737324,2.65725,0,1.66125,2.4305,1.83,0,-1.07927,
2015-01-10,03:00,1.23577,2.677,0,0.614217,0.914249,1.584,0,0.368875,
2015-01-10,04:00,0.0564349,0.579575,0,0.751974,-0.130152,0.858299,0,-0.762524,
2015-01-10,05:00,-0.846549,0.41385,0,0.505424,-0.386915,0.5869,0,0.745024,
2015-01-10,06:00,0.2817,0.55055,0,2.5315,3.5175,-0.01052,0,2.0445,
2015-01-10,07:00,0.893874,1.34772,0,2.24145,2.13882,-0.5288,0,1.31732,
2015-01-10,08:00,-0.0991499,0.397324,0,-0.300349,0,-0.5955,0,-0.700974,
2015-01-10,09:00,1.02115,2.42125,0,2.72225,0,-0.642599,0,1.87552,
2015-01-10,10:00,1.44681,2.57,0,1.4033,0,-0.126,0,0.760402,
2015-01-10,11:00,1.14742,3.23075,0,3.02975,0,0.679099,0,2.6445,
2015-01-10,12:00,1.54882,1.97157,0,2.43577,0,0.4891,0,2.30642,
2015-01-10,13:00,0.564699,1.11845,0,0.704824,0,0.424,0,1.2527,
2015-01-10,14:00,-0.0227996,2.952,0,-2.03886,0,0.2351,0,-1.69735,
